GW_devCount_vs_appCount,GW_devCount_vs_compCount,GW_upwardBW_vs_appCount,GW_resCap_vs_demand,ES_devCount_vs_appCount,ES_devCount_vs_compCount,ES_upwardBW_vs_appCount,ES_resCap_vs_demand,is_fail
9,0.32142857142857145,81.3,0.6858739837398368,11,0.39285714285714285,149,7.834759444623825,0
0.8571428571428571,0.061224489795918366,5.828571428571428,0.10032053073927062,2,0.14285714285714285,27.857142857142858,1.0998495944421567,0
0.75,0.043795620437956206,5.1,0.07472757811740863,1.75,0.10218978102189781,24.375,0.8063311411281323,0
0.6666666666666666,0.038461538461538464,4.533333333333333,0.06100817099015174,1.5555555555555556,0.08974358974358974,21.666666666666668,0.6929615757767198,0
0.6,0.03614457831325301,4.08,0.0580478547320976,1.4,0.08433734939759036,19.5,0.6617558337463101,0
0.6666666666666666,0.0379746835443038,4.533333333333333,0.06094462872604181,1.5555555555555556,0.08860759493670886,21.666666666666668,0.6936188712482215,0
0.5454545454545454,0.03278688524590164,3.709090909090909,0.05269324510830731,1.2727272727272727,0.07650273224043716,17.727272727272727,0.6139848466674662,0
0.5454545454545454,0.03278688524590164,3.709090909090909,0.05269324510830731,1.2727272727272727,0.07650273224043716,17.727272727272727,0.6139848466674662,0
6,0.32142857142857145,40.8,0.6858739837398368,11,0.39285714285714285,149,7.834759444623825,0
3,0.13953488372093023,20.4,0.23411759589458125,7,0.32558139534883723,97.5,2.3798186819573055,0
2,0.11320754716981132,13.6,0.18012781904570704,4.666666666666667,0.2641509433962264,65,1.9814038256830429,0
1.5,0.08108108108108109,10.2,0.13314453897902653,3.5,0.1891891891891892,48.75,1.4058752174311087,0
1.5,0.08108108108108109,10.2,0.13314453897902653,3.5,0.1891891891891892,48.75,1.4058752174311087,0
1.5,0.08108108108108109,10.2,0.13314453897902653,3.5,0.1891891891891892,48.75,1.4058752174311087,0
1.2,0.07228915662650602,8.16,0.12365169055494306,2.8,0.1686746987951807,39,1.3034312269235666,0
1,0.06315789473684211,6.8,0.1049376218323587,2.3333333333333335,0.14736842105263157,32.5,1.1155697214049618,0
0.5,0.028846153846153848,3.4,0.04738903853941089,1.1666666666666667,0.0673076923076923,16.25,0.5413607720442426,1
0.5454545454545454,0.03278688524590164,3.709090909090909,0.05269324510830731,1.2727272727272727,0.07650273224043716,17.727272727272727,0.6139848466674662,1
0.5454545454545454,0.03278688524590164,3.709090909090909,0.05269324510830731,1.2727272727272727,0.07650273224043716,17.727272727272727,0.6139848466674662,1
0.5454545454545454,0.03278688524590164,3.709090909090909,0.05269324510830731,1.2727272727272727,0.07650273224043716,17.727272727272727,0.6139848466674662,1
0.5,0.028037383177570093,3.4,0.04741157612907771,1.1666666666666667,0.06542056074766354,16.25,0.5123958324644016,1
0.5454545454545454,0.03278688524590164,3.709090909090909,0.05269324510830731,1.2727272727272727,0.07650273224043716,17.727272727272727,0.6139848466674662,1
0.5,0.02702702702702703,3.4,0.043085012725497404,1.1666666666666667,0.06306306306306306,16.25,0.4839702174598171,1
0.5,0.030456852791878174,3.4,0.050508054755448804,1.1666666666666667,0.07106598984771574,16.25,0.5600734905264693,1
0.5,0.028985507246376812,3.4,0.04697961392117848,1.1666666666666667,0.06763285024154589,16.25,0.5230951995707972,1
0.5,0.02643171806167401,3.4,0.04547128533900953,1.1666666666666667,0.06167400881057269,16.25,0.5054515083192073,1
9,0.34615384615384615,33.5,0.605610673965104,12,0.46153846153846156,444,1.9542251111871358,0
